from_station_name,to_station_name,trip_duration_in_minutes
Bayshore,Punggol Coast,64
Bayshore,Queenstown,39
Bayshore,Raffles Place,29
Bayshore,Redhill,37
Bayshore,Rochor,41
Bayshore,Sembawang,65
Bayshore,Sengkang,59
Bayshore,Serangoon,50
Bayshore,Shenton Way,22
Bayshore,Siglap,6
Bayshore,Simei,60
Bayshore,Sixth Avenue,48
Bayshore,Somerset,35
Bayshore,Springleaf,55
Bayshore,Stadium,43
Bayshore,Stevens,37
Bayshore,Tai Seng,54
Bayshore,Tampines,62
Bayshore,Tampines East,66
Bayshore,Tampines West,62
Bayshore,Tan Kah Kee,46
Bayshore,Tanah Merah,55
Bayshore,Tanjong Katong,11
Bayshore,Tanjong Pagar,34
Bayshore,Tanjong Rhu,15
Bayshore,Telok Ayer,39
Bayshore,Telok Blangah,45
Bayshore,Tiong Bahru,35
Bayshore,Toa Payoh,43
Bayshore,Tuas Crescent,70
Bayshore,Tuas Link,74
Bayshore,Tuas West Road,72
Bayshore,Ubi,54
Bayshore,Upper Changi,69
Bayshore,Upper Thomson,45
Bayshore,Woodlands,61
Bayshore,Woodlands North,64
Bayshore,Woodlands South,59
Bayshore,Woodleigh,48
Bayshore,Yew Tee,68
Bayshore,Yio Chu Kang,52
Bayshore,Yishun,60
Bayshore,one-north,53
Beauty World,Admiralty,52
Beauty World,Aljunied,34
Beauty World,Ang Mo Kio,34
Beauty World,Bartley,37
Beauty World,Bayfront,24
Beauty World,Bayshore,52
Beauty World,Beauty World,0
Beauty World,Bedok,43
Beauty World,Bedok North,48
Beauty World,Bedok Reservoir,50
Beauty World,Bencoolen,33
Beauty World,Bendemeer,37
Beauty World,Bishan,29
Beauty World,Boon Keng,28
Beauty World,Boon Lay,50
Beauty World,Botanic Gardens,11
Beauty World,Braddell,28
Beauty World,Bras Basah,33
Beauty World,Bright Hill,28
Beauty World,Buangkok,41
Beauty World,Bugis,21
Beauty World,Bukit Batok,38
Beauty World,Bukit Gombak,36
Beauty World,Bukit Panjang,12
Beauty World,Buona Vista,26
Beauty World,Caldecott,22
Beauty World,Canberra,46
Beauty World,Cashew,10
Beauty World,Changi Airport,64
Beauty World,Chinatown,29
