from_station_name,to_station_name,trip_duration_in_minutes
City Hall,Kent Ridge,33
City Hall,Khatib,30
City Hall,King Albert Park,28
City Hall,Kovan,28
City Hall,Kranji,50
City Hall,Labrador Park,31
City Hall,Lakeside,34
City Hall,Lavender,8
City Hall,Lentor,36
City Hall,Little India,15
City Hall,Lorong Chuan,30
City Hall,MacPherson,24
City Hall,Marina Bay,7
City Hall,Marina South Pier,10
City Hall,Marsiling,47
City Hall,Marymount,30
City Hall,Mattar,30
City Hall,Maxwell,17
City Hall,Mayflower,33
City Hall,Mountbatten,25
City Hall,Napier,18
City Hall,Newton,11
City Hall,Nicoll Highway,21
City Hall,Novena,13
City Hall,Orchard,9
City Hall,Orchard Boulevard,17
City Hall,Outram Park,10
City Hall,Pasir Panjang,33
City Hall,Pasir Ris,34
City Hall,Paya Lebar,14
City Hall,Pioneer,40
City Hall,Potong Pasir,21
City Hall,Promenade,15
City Hall,Punggol,37
City Hall,Queenstown,17
City Hall,Raffles Place,5
City Hall,Redhill,15
City Hall,Rochor,15
City Hall,Sembawang,37
City Hall,Sengkang,34
City Hall,Serangoon,25
City Hall,Shenton Way,15
City Hall,Simei,28
City Hall,Sixth Avenue,26
City Hall,Somerset,7
City Hall,Springleaf,38
City Hall,Stadium,24
City Hall,Stevens,20
City Hall,Tai Seng,26
City Hall,Tampines,30
City Hall,Tampines East,41
City Hall,Tampines West,38
City Hall,Tan Kah Kee,24
City Hall,Tanah Merah,24
City Hall,Tanjong Pagar,8
City Hall,Telok Ayer,20
City Hall,Telok Blangah,29
City Hall,Tiong Bahru,13
City Hall,Toa Payoh,15
City Hall,Tuas Crescent,48
City Hall,Tuas Link,52
City Hall,Tuas West Road,50
City Hall,Ubi,31
City Hall,Upper Changi,44
City Hall,Upper Thomson,29
City Hall,Woodlands,43
City Hall,Woodlands North,48
